unicode_cp,unicode,kEH_AltSeq,kEH_Cat,kEH_Core,kEH_Desc,kEH_FVal,kEH_Func,kEH_HG,kEH_IFAO,kEH_JSesh,kEH_NoMirror,kEH_NoRotate,kEH_UniK
13F55,U+13F55,,O-03-001,,,,,O6C,,O6C,,,O006L
13F56,U+13F56,,O-03-002,C,"Two rectangles, written vertically, connected together.",ḥw.t,"Logogram (temple, mansion, estate)",O285A,,O285A,,,HJ O285A
13F57,U+13F57,,O-03-012,C,"Three plans of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction, connected to each other.",ḥw.wt,"Logogram (temples, mansions, estates)",,,O84,,,O084
13F58,U+13F58,,O-03-013,,,,,O6B,"284,4",O6B,,,O006J
13F59,U+13F59,,O-03-014,C,"A plan of a rectangular enclosure, with an internal rectangle in both upper corners.",ḥw.t,"Logogram (temple, mansion, estate)",O6A,"284,5",O6A,,,O006K
13F5A,U+13F5A,,O-03-031,C,"A façade of a palace or tomb, represented by two rectangles, with a horizontal line with two crossing vertical lines in it, left horizontal line lower than the top.",,,O216,,O216,,,HJ O216
13F5B,U+13F5B,,O-03-036,C,"Three times a half round loaf of bread (X1), written inside a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6), connected horizontally.",ḥw.wt,"Logogram (temples, mansions, estates)",O88,"285,2",O88,,,HJ O088
13F5C,U+13F5C,,O-03-037,C,"Three times a half round loaf of bread (X1), written inside a plan of a rectangular enclosure, with an internal rectangle in the top corner away from the reading direction (O6), connected horizontally.",ḥw.wt,"Logogram (temples, mansions, estates)",O88A,,O88A,,,HJ O088A
13F5D,U+13F5D,,O-03-113,C,"A falcon (G5), written inside a plan of a rectangular enclosure, with an internal rectangle in the top corner away from the reading direction; on top of a wickerwork basket (V30).",ḥw.t-ḥr-nb.t,"Logogram (Hathor, lady (of))",O96,"289,11",O96,,,HJ O096
13F5E,U+13F5E,,O-03-168,C,"A plan of a rectangular enclosure with battlements on all sides, with an internal rectangle in the lower corner away from the reading direction",,,,,,,,O307A
13F5F,U+13F5F,,O-03-169,C,"A plan of a rectangular enclosure with battlements on three sides, with a wide base, with an internal rectangle in the top corner away from the reading direction.",,,,,,,,O092F
13F60,U+13F60,,O-03-171,C,"A wickerwork basket (V30), on top of a plan of a rectangular enclosure, with an internal rectangle in the lower corner away from the reading direction (O6).",nb.t-ḥw.t,Logogram (Nephthys (divinity)),O9B,"292,10",O9B,,,HJ O009B
13F61,U+13F61,,O-03-172,C,"A wickerwork basket (V30), on a small vertical rectangle, with a wide base.",nb.t-ḥw.t,Logogram (Nephthys (divinity)),O9C,"292,11",O9C,,,HJ O009C
13F62,U+13F62,,O-04-001,C,"A wall of the palace, with ornamental chevaux de frise on top of the wall, with internal decoration of two rectangles, with an angled line inside, forming a point at the back.",ꜥḥ,Logogram (palace),,"293,1",,,,O012F
13F63,U+13F63,,O-04-002,C,"A wall of the palace, without the ornamental chevaux de frise on top of the wall, with internal decoration of two rectangles, with an angled line inside, forming a point at the back.",ꜥḥ,Logogram (palace),,,,,,O383
13F64,U+13F64,,O-04-003,C,"A wall of the palace, without the ornamental chevaux de frise on top of the wall, with internal decoration of two rectangles, with an angled line inside, both angling downwards towards the back.",,,,,,,,O012G
13F65,U+13F65,,O-04-008,C,"A wall of the palace, with ornamental chevaux de frise on top of the wall, without internal decoration.",ꜥḥ,Classifier palace,O11A,"293,6",O11A,,,HJ O011A
13F66,U+13F66,,O-04-009,C,"a wall of the palace, with ornamental chevaux de frise on top of the wall, with two sections, the front section without internal decoration, the back with internal decoration.",,,,,,,,O011B
13F67,U+13F67,,O-04-025,C,"A wall of the palace, with ornamental chevaux de frise on top of the wall, with internal decoration resembling two rectangles with an angled line inside, going from the front bottom corner to the top corner in the back; on a wide base, with a rectangle at the front with horizontal chevaux de frise at the front.",ꜥḥ,Logogram (palace),O99,"294,7",O99,,,HJ O099
13F68,U+13F68,,O-04-026,,,,,O98A,,O98A,,,HJ O098A
13F69,U+13F69,,O-04-027,C,"A wall of the palace, with ornamental chevaux de frise on top of the wall, in two sections, the front section with internal decoration, with a cloth wound on a pole, an emblem of divinity (R8) written inside the second section.",nṯrꞽ,Classifier divine,O260,,O260,,,HJ O260
13F6A,U+13F6A,,O-05-002,C,"An enclosure wall with battlements on the front, back and top, and on the vertical line of the opening.",wsḫ,Phonemogram,O13,"294,12",,,,O013K
13F6B,U+13F6B,,O-05-003,C,"An enclosure wall with battlements on the front, back and top.",wsḫ,Phonemogram,,,,,,O013L
13F6C,U+13F6C,,O-05-004,C,"An enclosure wall with battlements on the front, back and top, with blocks on the corners.",wsḫ,Phonemogram,,,,,,O013M
13F6D,U+13F6D,,O-05-005,C,"An enclosure wall with battlements on the front, back and top, with an additional horizontal line partly covering the open section.",wsḫ,Phonemogram,,,,,,O013N
13F6E,U+13F6E,,O-05-007,C,"A man, standing, both arms raised in front, holding a mat with a loaf of bread on each side of a vessel, written inside an enclosure wall with battlements on the front, back and top.",wsḫ.t-ḥtp,Logogram (court of offerings),,,,,,O381
13F6F,U+13F6F,,O-05-026,C,"A house or enclosure, with battlements on the front, back and top.",,,O303,,O303,,,HJ O303
13F70,U+13F70,,O-05-040,C,"An enclosure wall with battlements on the front, back and top, without an internal section.",,,,,,,,O105A
13F71,U+13F71,,O-05-064,C,"A wall, written vertically, with battlements on the front, back and top, and blocks on the corners.",,,,,,,,O123B
13F72,U+13F72,,O-05-084,C,"A wall, written vertically, with multiple battlements on the long sides.",ꞽnb,Logogram (wall),O36C,"298,6",O36C,,Y,O036M
13F73,U+13F73,,O-05-099,C,"A wall, with multiple battlements on its long sides, written at a forward angle.",snb,"Classifier overthrow, demolish",O37A,"298,14",O37A,,Y,HJ O037A
13F74,U+13F74,,O-05-101,C,"A wall, with multiple battlements on its long sides, written at a forward angle, with a forward, downward line coming from the top.",sšn,"Classifier overthrow, demolish",O118,,O118,,,HJ O118
13F75,U+13F75,,O-05-105,C,"A wall, written vertically, with battlements on all edges.",km-wr,Classifier geographical location,,,,,,O036K
13F76,U+13F76,,O-05-111,C,"An vertical oval, with rounded battlements.",ꜣbw,Classifier geographical location (Elephantine),,,,,,O036L
13F77,U+13F77,,O-05-113,,,,,O120,"299,5",O120,,,HJ O120
13F78,U+13F78,,O-05-117,C,"A wall, written vertically, with a wide base and battlements on the front, back and top.",sbty,Classifier wall,O36D,,O36D,,,O036N
13F79,U+13F79,,O-05-118,C,"A wall, written vertically, with multiple battlements on the long sides (O36C), in front of a mace with a pear-shaped head, written vertically (T3); written on top of a standard used for carrying religious symbols, with a loop under the horizontal beam, running over the vertical pole (R12A).",nb-ḥḏ,Logogram i(Memphis (the white wall)),O121,,O121,,,HJ O121
13F7A,U+13F7A,,O-05-120,C,"A wall, written vertically, with multiple battlements on the long sides, in front of a mace with a pear-shaped head, written vertically, in front of a plan of a crossroads in a village; written on top of a standard used for carrying religious symbols, with a loop under the horizontal beam, running over the vertical pole, written on top of a parcel of land with irrigation ditches.",,,O121B,,O121B,,,HJ O121B
13F7B,U+13F7B,,O-06-001,C,"A façade of a palace or tomb, with a doorway, without internal detail.",srḫ,Logogram (serekh (palace) façade),O129,"299,7",O129,,,HJ O129
13F7C,U+13F7C,,O-06-005,C,"A façade of a palace or tomb, with a doorway, open at the bottom, without internal detail.",srḫ,Classifier palace façade,O130,"299,9",O130,,,HJ O130
13F7D,U+13F7D,,O-06-011,,,,,O131,"299,12",O131,,,HJ O131
13F7E,U+13F7E,,O-06-015,,,,,O131A,"300,1",O131A,,,HJ O131A
13F7F,U+13F7F,,O-06-021,C,"A façade of a palace or tomb, with a doorway.",srḫ,Classifier palace façade,O33A,"300,7",O33A,,,O033S
13F80,U+13F80,,O-06-022,C,"A façade of a palace or tomb, with a doorway, without a line at the bottom.",srḫ,Logogram (serekh (palace) façade),O33C,,O33C,,,HJ O033C
13F81,U+13F81,,O-06-033,C,"A façade of a palace or tomb, with a doorway, with internal detail in the doorway.",srḫ,Logogram (serekh (palace) façade),,"301,2",,,,O033M
13F82,U+13F82,,O-06-042,C,"Two eyes, with the markings of the head of a falcon (D10), arranged horizontally, mirroring each other, written inside a wall of the palace, with internal detail in the lower half.",ḥḏ,Logogram (chapel),O132,"301,11",O132,,,HJ O132
13F83,U+13F83,,O-06-043,C,"Two eyes, with the markings of the head of a falcon (D10), arranged horizontally, mirroring each other, written inside a wall of the palace, with ornamental chevaux de frise on top of the wall, without internal decoration.",ḥḏ,Logogram (chapel),O337,,O337,,,HJ O337
13F84,U+13F84,,O-06-052,C,"A façade of a palace or tomb, simplified to a horizontal line with a short crossbar in the middle, and three vertical lines at the bottom.",srḫ,Logogram (serekh (palace) façade),,,,,,O033T
13F85,U+13F85,,O-06-055,C,"A façade of a palace or tomb, with an interior decoration pattern consisting of three thin horizontal beams, separated by two broad horizontal beams consisting of vertical strokes.",srḫ,Logogram (serekh (palace) façade),,,,,,O033D
13F86,U+13F86,,O-06-057,C,"A façade of a palace or tomb, with a doorway, with a horizontal beam of vertical lines on top of it.",srḫ,Logogram (serekh (palace) façade),,,,,,O033R
13F87,U+13F87,,O-06-058,C,"A façade of a palace or tomb, represented by a rectangle with a angled line, running from the bottom left to the top right corner, with vertical stokes below the rectangle.",srḫ,Logogram (serekh (palace) façade),,,,,,O033U
13F88,U+13F88,,O-07-001,C,The pylon of a temple.,bḫny,Classifier pylon/gateway,O137,"302,3",O137,,,HJ O137
13F89,U+13F89,,O-07-003,C,"The two towers of a pylon of a temple, divided, with a rectangular opening in each tower on the inside.",,,O138,,O138,,,HJ O138
13F8A,U+13F8A,,O-07-005,C,"A façade of a shrine with a flat roof, with a angled line written from the front bottom corner to the left top corner inside.",pr-wr,Logogram (sanctuary of Upper Egypt),O152,"302,6",O152,,,HJ O152
13F8B,U+13F8B,,O-07-006,C,"A façade of a shrine with a flat roof, with oblique sides, with a large doorway.",mꜣh.t,Classifier doorway/gateway,O21B,"302,7",O21B,,,HJ O021B
13F8C,U+13F8C,,O-07-010,C,"written over a façade of a shrine with a flat roof, with vertical sides, with a small rectangle in the bottom corner away from the reading direction (O21D).",ḥw.t,Logogram,O21D,,O21D,,,HJ O021D
13F8D,U+13F8D,,O-07-012,C,"A shrine with vertical sides and a flat roof, without internal detail, with an uraeus at the front tip of the roof.",kꜣr,Logogram (chapel),O18D,,O18D,,,HJ O018D
13F8E,U+13F8E,,O-07-013,C,"A shrine with vertical sides and a flat roof, with a doorway, with an uraeus at the front tip of the roof.",,Logogram (chapel),O280,,O280,,,HJ O280
13F8F,U+13F8F,,O-07-014,C,"A façade of a shrine with a flat roof, with uraei on top, facing forwards, with oblique sides, with a large doorway.",rw.t,Phonemogram (in r-rw.t (outside)),O21C,,O21C,,,HJ O021C
13F90,U+13F90,,O-07-015,C,"A façade of a shrine with a flat roof, with vertical strokes on top, with oblique sides, with a small doorway.",ꜥḥ,Logogram (palace),O329B,,O329B,,,HJ O329B
13F91,U+13F91,,O-07-020,C,"A façade of a shrine with a flat roof, with uraei on top, facing forwards, with oblique sides, with two doorways.",sbḫ.t,"Logogram (portal, portico)",,,,,,O021F
13F92,U+13F92,,O-08-001,C,"A gateway, with the bottom fully closed.",sbꜣ,Classifier doorway,O32B,"302,10",O32B,,,HJ O032B
13F93,U+13F93,,O-08-005,C,"A gateway, with the bottom fully closed, with internal detail.",rw.t,Phonemogram (in r-rw.t (outside)),O32C,"302,12",O32C,,,HJ O032C
13F94,U+13F94,,O-08-007,C,"A star (N14), on top of a gateway, with the bottom fully closed (O32B).",sbꜣ,Logogram (doorway),O276,,O276,,,HJ O276
13F95,U+13F95,,O-08-009,C,"A gateway, with the bottom fully closed (O32B), with feathers (H8) on top, angled forwards.",sbḫ.t,"Classifier portal, portico",O145A,,O145A,,,HJ O145A
13F96,U+13F96,,O-08-012,C,A broad gateway.,ꞽs,Classifier tomb,O32D,"303,1",O32D,,,HJ O032D
13F97,U+13F97,,O-08-013,,,,,O16,"303,2",O16,,,O016G
13F98,U+13F98,,O-08-015,C," A plan and façade of a hall, with a cornice with four Uraei on top, orientated forwards.",sbḫ.t,"Classifier portal, portico",O16A,"303,3",O16A,,,HJ O016A
13F99,U+13F99,,O-08-018,C," A thin plan and façade of a hall, with a cornice with four Uraei on top, orientated forwards.",tꜣy.t,Logogram (main gate of a temple),O16B,"303,6",O16B,,,HJ O016B
13F9A,U+13F9A,,O-08-026,C,"A plan and façade of a hall, with an entrance, with a cornice with Uraei on top, with half orientated forwards and half orientated backwards.",tꜣy.ty,Classifier curtain,,,,,,O016F
13F9B,U+13F9B,,O-09-003,,,,,O18E,"303,15",O18E,,,HJ O018E
13F9C,U+13F9C,,O-09-006,C,"A shrine, seen from the side, with a downward sloping roof, on top of a sledge.",mꜥḥꜥ.t,"Classifier funerary chapel, cenotaph",O18B,"304,3",O18B,,,HJ O018B
13F9D,U+13F9D,,O-09-014,C,"A shrine, seen from the side, with a downward sloping roof, with an uraeus at the front of the roof.",ḥḏ,Classifier chapel,O18A,"304,9",O18A,,,HJ O018A
13F9E,U+13F9E,,O-09-015,C,"A shrine, seen from the side, with a downward sloping roof, with an uraeus at the front of the roof, with a rectangle attached to the front.",pr-wr,Logogram (sanctuary of Upper Egypt),,,,,,O018F
13F9F,U+13F9F,,O-09-020,C,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forwards, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically (C19); written inside a shrine, seen from the side, with a downward sloping roof (O18). ",nṯrꞽ,Logogram (to be divine),O148,,O148,,,HJ O148
13FA0,U+13FA0,,O-09-029,,,,,O150,"304,13",O150,,,HJ O150
13FA1,U+13FA1,,O-09-041,C,"A façade of a shrine with a flat roof, with oblique sides, with a large doorway, with a pole in front, with a horizontal line over the roof, connected to the roof with three vertical lines.",pr-wr,Classifier shrine,O329A,"305,8",O329A,,,HJ O329A
13FA2,U+13FA2,,O-09-044,C,"A façade of a shrine with a flat roof, with oblique sides, with a large doorway, with a pole in front, with a horizontal line over the roof, connected to the roof with two vertical lines.",pr-wr,Logogram (sanctuary of Upper Egypt),O329,"305,13",O329,,,HJ O329
13FA3,U+13FA3,,O-09-045,C,"The façade of a shrine with a flat roof, with oblique sides, with a large doorway, with a long horizontal line coming from the front of the base, the front tip connected with a curved line going to the front tip of the roof, resembling a representation of two ribs, written parallel (Aa15).",pr-wr,Logogram (sanctuary of Upper Egypt),M211,,M211,,,HJ M211
13FA4,U+13FA4,,O-09-047,,,,,O154,"305,15",O154,,,HJ O154
13FA5,U+13FA5,,O-09-053,C,"A shrine, seen from the side, with a downward sloping roof, with an uraeus at the front of the roof (O18A), with a horizontal line over it.",ḥḏ-šps,Classifier shrine,O153C,"306,4",O153C,,,HJ O153C
13FA6,U+13FA6,,O-09-060,C,"An archaic shrine, seen from the side, with a downward sloping roof, with two vertical poles forming the front, with horizontal lines extending from the top of the roof, with short vertical lines in front of the poles.",pr-wr,Classifier shrine,O19C,"306,9",O19C,,,HJ O019C
13FA7,U+13FA7,,O-09-066,C,"The emblem erected outside the temple of Min, resembling the horns of a bovid (F13) on top of a stem of papyrus with a bud (M13), with a coil of rope (V1) between the horns, connected to a cone, with a spike on top, from which a shrine with a flat roof comes forth.",sḥn,Classifier chapel (associated with Min),O156,"306,14",O156,,,HJ O156
13FA8,U+13FA8,,O-09-068,C,"The head of a bovid, coming from an cone, with a forward, downward line of liquid coming from the mouth, on top of a base.",psḏ.t,Logogram (Ennead),O275,,O275,,,HJ O275
13FA9,U+13FA9,,O-09-071,C,"An archaic shrine, seen from the side, with a downward sloping roof, with vertical poles in front of the shrine itself, connected to the shrine (O19), on top of a sledge.",s.t=f-wr.t,Classifier shrine,O157,"307,1",O157,,,HJ O157
13FAA,U+13FAA,,O-09-072,,,,,O158,"307,2",O158,,,HJ O158
13FAB,U+13FAB,,O-09-075,C,"A low shrine with a round roof, with two vertical lines enclosing the top, on top of a broad base, with a vertical line on either side of the shrine, with three horizontal strokes over it.",šṯy.t,Logogram (sanctuary of Sokar),O160,"307,5",O160,,,HJ O160
13FAC,U+13FAC,,O-09-081,C,"A tall shrine with a round roof, with two vertical lines enclosing the top, on a base, with internal decoration consisting of two rectangles, with an angled line inside, forming a point at the front.",pr-nsr,"Classifier sanctuary, shrine",O20A,"307,12",O20A,,,O020E
13FAD,U+13FAD,,O-09-082,C,"A tall shrine with a round roof, with two vertical lines enclosing the top, on a base, without internal decoration.",ꞽtr.t,"Logogram (shrine, row of shrines)",,"307,13",,,,O020D
13FAE,U+13FAE,,O-09-083,C,"A tall shrine with oblique sides, a triangular roof and a doorway.",ꞽwn.t,Logogram (Dendera),O161,"307,14",O161,,,HJ O161
13FAF,U+13FAF,,O-09-085,,,,,O21A,"307,16",O21A,,,HJ O021A
13FB0,U+13FB0,,O-09-092,,,,,O166,"308,6",O166,,,HJ O166
13FB1,U+13FB1,,O-09-093,C,"A façade of a shrine with a flat roof, with oblique sides, with a entryway resembling a smaller façade of a shrine with a flat roof, with oblique sides, with a large gateway; with a vertical rectangle added to the far side.",pr-wr,Logogram (sanctuary of Upper Egypt),,,,,,O329E
13FB2,U+13FB2,,O-09-100,,,,,O167B,,O167B,,,HJ O167B
13FB3,U+13FB3,,O-09-103,C,"A pronaos or kiosk, with a rounded roof, supported on two columns with a flower-like capital on the outside of the lower walls.","hꜣy,t","Logogram (portal, portico)",O184,"308,12",O184,,,HJ O184
13FB4,U+13FB4,,O-09-105,C,"A pronaos or kiosk, with a rounded roof, supported on four columns with a flower-like capital, connected to the lower walls.",hꜣy.t,"Logogram (ceiling, heaven)",O185,"308,14",O185,,,HJ O185
13FB5,U+13FB5,,O-09-107,C,"A schematic representation of a pronaos or kiosk, with the two columns represented by a vertical line with a crossbar.","hꜣy,t","Logogram (portal, portico)",,,,,,O382
13FB6,U+13FB6,,O-09-112,C,?The front wall and roof of a shrine?,sḥ,?Logogram (shrine?),,,,,,O021G
13FB7,U+13FB7,,O-10-001,C,"A booth, with the roof curving gradually.",sḥ,"Logogram (pavilion, hall, booth)",O169A,,O169A,,,HJ O169A
13FB8,U+13FB8,,O-10-002,C,"A booth, with the roof curving gradually, with a circle on top of the roof.",ꜥrḳ,"Logogram (to tie on, to don)",O169,"309,3",O169,,,HJ O169
13FB9,U+13FB9,,O-10-003,C,"A booth, with the roof curving gradually after a sharp corner.",,,,,,,,O175D
13FBA,U+13FBA,,O-10-004,C,A booth with a pointed roof.,,,,,,,,O175C
13FBB,U+13FBB,,O-10-019,C,"A cloth wound on a pole, an emblem of divinity (R8), written inside a booth, with the roof curving gradually, with a circle in the center of the roof.",sḥ-nṯr,Logogram (divine booth),O346,,O346,,,HJ O346
13FBC,U+13FBC,,O-10-030,C,"A booth, with the roof curving gradually, supported by a forked pole for supporting a roof (O30), with a circle on top of the roof.",sḥ,Logogram (booth),O22A,"310,3",O22A,,,HJ O022A
13FBD,U+13FBD,,O-10-031,C,"A booth, with the roof curving gradually, with a vertical support in the middle, with a circle on top of the roof.",ꜥrḳ,Phonemogram,O22B,"310,4",O22B,,,HJ O022B
13FBE,U+13FBE,,O-10-035,C,An open booth supported by a forked pole for supporting a roof (O30).,ꜥrḳ,Phonemogram (in ꜥrḳ-wr),O22C,"310,6",O22C,,,HJ O022C
13FBF,U+13FBF,,O-10-040,C,An open booth supported by a pole with a circular inset (P11A).,ꜥrḳ,Phonemogram,O180,"310,10",O180,,,HJ O180
13FC0,U+13FC0,,O-11-002,C,"A double pavilion, with flower-topped capitals on the columns, with curved roofs, without seats.",ḥb-sd,"Logogram (jubilee, sed-festival)",O23L,,O23L,,,HJ O023L
13FC1,U+13FC1,,O-11-006,C,"A carrying chair (Q2), written inside a booth or pavilion, with two columns resembling a stem of papyrus with a bud (M13), with a curved roof.",ṯnṯꜣ.t,Classifier throne dais,O23B,"310,14",O23B,,,HJ O023B
13FC2,U+13FC2,,O-11-008,,,,,O189A,,O189A,,,HJ O189A
13FC3,U+13FC3,,O-11-009,C,"An open booth supported by a central column with a flower-like capital, with two carrying chairs (Q2) written inside, facing away from one another.",ḥb-sd,"Logogram (jubilee, sed-festival)",O23C,"311,1",O23C,,,HJ O023C
13FC4,U+13FC4,,O-11-011,C,"An open booth supported by a forked pole for supporting a roof (O22C), on top of a wickerwork basket (V30).",(ꞽ)fd.w,Logogram (four),W4A,"311,3",W4A,,,HJ W004A
13FC5,U+13FC5,,O-11-016,C,"A booth with a round roof, supported by three columns with a flower-like capital, on top of an alabaster basin with a diamond shaped inner marking (W3).",ḥb-sd,"Logogram (jubilee, sed-festival)",W37,"311,7",W37,,,HJ W037
13FC6,U+13FC6,,O-11-017,C,"A booth with a wavy roof, supported by three forked poles for supporting a roof (O30), on top of a wickerwork basket (V30).",ḥb-sd,"Logogram (jubilee, sed-festival)",W37B,"311,8",W37B,,,HJ W037B
13FC7,U+13FC7,,O-11-018,,,,,O23Q,,O23Q,,,HJ O023Q
13FC8,U+13FC8,,O-11-019,,,,,O23T,,O23T,,,HJ O023T
13FC9,U+13FC9,,O-11-021,C,"An open booth supported by a forked pole for supporting a roof (O22C), on top of a wickerwork basket (V30); with a horizontal line, intersected in the middle by a coil of rope (V2) written left of the central pole.",ḥb-sd,"Logogram (jubilee, sed-festival)",W35A,"311,10",W35A,,,HJ W035A
13FCA,U+13FCA,,O-11-022,C,"An open booth supported by a pole, on top of an alabaster basin with a diamond shaped inner marking (W4); with a horizontal line, intersected in the middle by a coil of rope (V2) written left of the central pole.",ḥb-sd,"Classifier jubilee, sed-festival",W35,"311,12",W35,,,HJ W035
13FCB,U+13FCB,,O-11-023,C,"A horizontal line, intersected in the middle by a coil of rope (V2), written within a booth, with the roof curving gradually after a sharp corner (O175D), on top of a wickerwork basket (V30).",ḥb-sd,"Classifier jubilee, sed-festival",,"311,14",,,,W035C
13FCC,U+13FCC,,O-11-024,,"A booth with a round roof with a circle on top, supported by three columns with a flower-like capital, with two carrying chairs (Q2) facing away from one another; on top of an alabaster basin with a diamond shaped inner marking (W3).",ḥb-sd,"Logogram (jubilee, sed-festival)",O23D,"311,15",O23D,,,HJ O023D
13FCD,U+13FCD,,O-11-025,C,"A booth with a round roof, supported by three columns, with the outer two having a flower-like capital, with the middle column resembling a rolled-up herdsman's shelter of papyrus (V18); on top of an alabaster basin with a diamond shaped inner marking (W3).",ḥb,Logogram (festival),,,,,,O023V
13FCE,U+13FCE,,O-11-026,C,"A booth with a round roof, supported by three forked poles for supporting a roof (O30), with two carrying chairs (Q2) facing away from one another; on top of a wickerwork basket (V30).",ḥb-sd,"Logogram (jubilee, sed-festival)",W37D,"311,16",W37D,,,HJ W037D
13FCF,U+13FCF,,O-11-027,C,"A booth with a round roof, supported by three forked poles for supporting a roof (O30); on top of a wickerwork basket (V30).",ḥb-sd,"Logogram (jubilee, sed-festival)",W37A,,W37A,,,HJ W037A
13FD0,U+13FD0,,O-11-028,C,"An open booth supported by a pole (O22), with two carrying chairs (Q2) facing away from one another; on top of an alabaster basin with a diamond shaped inner marking (W3).",ḥb-sd,"Logogram (jubilee, sed-festival)",O23E,"312,1",O23E,,,HJ O023E
13FD1,U+13FD1,,O-11-030,,,,,O23F,"312,3",O23F,,,HJ O023F
13FD2,U+13FD2,,O-11-042,C,"A double pavilion, with columns topped with a triangle, with two carrying chairs (Q2), facing away from one another; on top of an alabaster basin with a diamond shaped inner marking (W3).",ḥb-sd,"Logogram (jubilee, sed-festival)",,"312,13",,,,O023U
13FD3,U+13FD3,,O-11-044,C,"A double pavilion, with columns without capitals, with the rounded roofs curving upwards at the far sides, with two carrying chairs (Q2), facing away from one another; on top of an alabaster basin with a diamond shaped inner marking (W3).",ḥb-sd,"Logogram (jubilee, sed-festival)",O23P,"312,14",O23P,,,HJ O023P
13FD4,U+13FD4,,O-11-046,C,"A double pavilion, with columns without capitals, with the rounded roofs curving upwards at the far sides; on top of an alabaster basin with a diamond shaped inner marking (W3).",ḥb-sd,"Logogram (jubilee, sed-festival)",O23K,,O23K,,,HJ O023K
13FD5,U+13FD5,,O-11-049,C,"Two booths, with the roof curving gradually (O169A), on top of a plateau with a staircase at either side.",h(ꜣ)b,Logogram (festival),O182,"312,16",O182,,,HJ O182
13FD6,U+13FD6,,O-11-051,C,"A booth with a round roof, supported by two columns resembling a stem of papyrus with a bud (M13), with an abacus; on top of a base (O210A).",hꜣy.t,"Logogram (ceiling, heaven)",O342,,O342,,,HJ O342
13FD7,U+13FD7,,O-11-056,C,"A ram (Ovis longipes palaeo-aegyptiacus), standing, without a beard (E11), with a round vessel with an upstanding rim (W24) above its back; written inside a booth consisting of the sky (N1), supported by two columns resembling a stem of papyrus with a bud (M13), with an abacus; on top of a base (O210A); on a broad base.",ḥꜣy.t n bꜣ,Phonemogram/Logogram,O283,,O283,,,HJ O283
13FD8,U+13FD8,,O-12-004,C,A mastaba with an enclosure wall.,sꞽꜥ,"Classifier to ascend, to mount up",O24A,,O24A,,,O024C
13FD9,U+13FD9,,O-12-005,C,A truncated pyramid.,,?,O194,,O194,,,HJ O194
13FDA,U+13FDA,,O-13-008,C,"An obelisk, without a base.",tḫn,Classifier obelisk,O191,"313,10",O191,,,HJ O191
13FDB,U+13FDB,,O-13-009,C,The benben stone.,bnbn,"Phonemogram/logogram (to beget, to ejaculate, to create)",O191A,"313,11",O191A,,,HJ O191A
13FDC,U+13FDC,,O-13-011,C,An obelisk of an Old Kingdom sun temple.,s.t-ꞽb-rꜥ,Classifier solar temple,O190,,O190,,,HJ O190
13FDD,U+13FDD,,O-14-008,C,A narrow shrine or stela on a base.,ꞽtr.t,Classifier shrine/chapel,O195A,"314,3",O195A,,,HJ O195A
13FDE,U+13FDE,,O-14-013,C,"A snake with a coiled tail, written vertically (I114), written inside a narrow shrine or stela on a plan of a crossroads in a village (O49).",ꞽtr.t,"Logogram (shrine, row of shrines)",O196A,,O196A,,,HJ O196A
13FDF,U+13FDF,,O-16-004,C,A column with a tenon at the top.,ꞽwn,Phonemogram,O28,"314,14",O28,,,O028D
13FE0,U+13FE0,,O-16-006,C,"A column with a base, with a tenon at the top, with a spiral, winding counterclockwise away from its central point, ending at the right lower corner after about one and a half turns (Z7) attached to the top, towards the front.",wṯs,Phonemogram,,,,,,O028E
13FE1,U+13FE1,,O-16-007,C,"A column with a tenon at the top, resembling a half circle.",ꞽwn,Phonemogram,O164A,"315,1",O164A,,,HJ O164A
13FE2,U+13FE2,,O-16-008,C,"A column with a base, with a tenon at the top.",ꞽwn,Phonemogram,O28B,"315,2",O28B,,,HJ O028B
13FE3,U+13FE3,,O-16-011,,,,,O201,"315,3",O201,,,HJ O201
13FE4,U+13FE4,,O-16-030,C,"A column resembling a stem of papyrus with a bud (M13), with an abacus; on top of a base.",wꜣḏ,Logogram (papyriform column),O210A,"316,3",O210A,,,HJ O210A
13FE5,U+13FE5,,O-16-031,C,"A column resembling a stem of papyrus with a bud (M13), without an abacus; on top of a base.",wḫꜣ,Classifier column (columned hall),O206,"316,4",O206,,,HJ O206
13FE6,U+13FE6,,O-16-035,,,,,O207,"316,8",O207,,,HJ O207
13FE7,U+13FE7,,O-16-041,C,"A column with oblique sides, with a capital resembling a round vessel with an upstanding rim.",wḫꜣ,Classifier column (columned hall),O211,,O211,,,HJ O211
13FE8,U+13FE8,,O-16-044,,,,,O210,"316,15",O210,,,HJ O210
13FE9,U+13FE9,,O-16-046,,,,,O209,"317,1",O209,,,HJ O209
13FEA,U+13FEA,,O-16-047,C,"The capital of a column, in the form of a lotus flower, with an abacus on top.",šnꜥ,Phonemogram,O214,"317,3",O214,,,HJ O214
13FEB,U+13FEB,,O-16-048,C,"A column resembling a stem of papyrus with a bud (M13), on a base, with a ",ꞽwn,Classifier pillar,,,,,,O357
